Title,Price,SKU#,Article-Code,Availability,Sizes,URL
BLUE LAWN PRINTED KURTI,"PKR 2,490.00",J-10000132770,JYGK-S-JTS-25-4076 FB/ESSENTIAL-T-27,In stock,"12 Years,14 Years,16 Years,18 Years",https://www.junaidjamshed.com/blue-lawn-printed-kurti-jts254076s.html
OFF WHITE BLENDED SEMI-FORMAL KAMEEZ SHALWAR,"PKR 7,990.00",J-10000145566,JJKS-A-33423/S25/JJ11073-SF,In stock,"S,M,L,XL",https://www.junaidjamshed.com/off-white-blended-semi-formal-kameez-shalwar-jjksa33423.html
MULTICOLOR DIGITAL PRINTED LIMINAL UNSTITCHED 2PC,"PKR 2,890.00",10000158980,JLAWN-S-JDS-25-1156 ETHNIC CRAFT-1,In stock,,https://www.junaidjamshed.com/multicolor-digital-printed-liminal-unstitched-2pc-jds251156u.html
MULTICOLOR DIGITAL PRINTED LIMINAL UNSTITCHED 2PC,"PKR 2,890.00",10000158981,JLAWN-S-JDS-25-1157 ETHNIC CRAFT-2,In stock,,https://www.junaidjamshed.com/multicolor-digital-printed-liminal-unstitched-2pc-jds251157u.html
PURPLE EMBROIDERED LIMINAL UNSTITCHED 3PC,"PKR 6,990.00",10000151324,JLAWN-S-25-960 CORD ART-4,In stock,,https://www.junaidjamshed.com/purple-embroidered-liminal-unstitched-3pc-jl25960u.html
BLACK DIGITAL PRINTED DORIA UNSTITCHED 3PC,"PKR 4,990.00",10000159001,JLAWN-S-25-962 MODERN CHUNRI-2,In stock,,https://www.junaidjamshed.com/black-digital-printed-doria-unstitched-3pc-jl25962u.html
BLUE PRINTED LAWN UNSTITCHED 3PC,"PKR 3,490.00",10000139992,JLAWN-S-25-3450 ISLAMIC ART-4,In stock,,https://www.junaidjamshed.com/blue-printed-lawn-unstitched-3pc-jlu253450u.html
BLUE PRINTED DOBBY UNSTITCHED 2PC,"PKR 3,490.00",10000158985,JLAWN-S-JDS-25-1161 FLORESCENT-2,In stock,,https://www.junaidjamshed.com/blue-printed-dobby-unstitched-2pc-jds251161u.html
PURPLE PRINTED DOBBY UNSTITCHED 2PC,"PKR 3,490.00",10000158984,JLAWN-S-JDS-25-1160 FLORESCENT-1,In stock,,https://www.junaidjamshed.com/purple-printed-dobby-unstitched-2pc-jds251160u.html
MULTICOLOR DIGITAL PRINTED LIMINAL UNSTITCHED 2PC,"PKR 2,890.00",10000158982,JLAWN-S-JDS-25-1158 ETHNIC CRAFT-3,In stock,,https://www.junaidjamshed.com/multicolor-digital-printed-liminal-unstitched-2pc-jds251158u.html
MULTICOLOR DIGITAL PRINTED LIMINAL UNSTITCHED 2PC,"PKR 2,890.00",10000158983,JLAWN-S-JDS-25-1159 ETHNIC CRAFT-4,In stock,,https://www.junaidjamshed.com/multicolor-digital-printed-liminal-unstitched-2pc-jds251159u.html
